REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1919,ON,"Beans, all dry (white and coloured)",133,840,7800,9300,1039
1919,ON,Buckwheat,62,1225,88650,72300,5534
1919,ON,Corn for grain,49,4325,385000,89000,18790
1919,ON,Corn for silage,0.69,22480,3641000,162000,25304
1919,ON,Flaxseed,136,595,3300,5550,450
1919,ON,Mixed grains,66,1585,402800,254500,26672
1919,ON,Oats,59,1115,1208900,1082300,71378
1919,ON,"Peas, dry",85,960,49400,51500,4180
1919,ON,"Rye, all",58,995,56400,56700,3279
1919,ON,Sugar beets,1.2,20000,217700,9900,2606
1919,ON,Tame hay,2.27,3620,5355000,1479000,121512
1919,ON,"Wheat, all",90,1420,563700,397200,50767
1919,ON,"Wheat, spring",90,1050,153700,146200,13890
1919,ON,"Wheat, winter remaining",90,1635,410000,NA,36877
1919,PP,Barley,52,1095,798000,729000,41339
1919,PP,Corn for silage,1.43,18590,184000,9900,2622
1919,PP,Flaxseed,163,310,132900,432000,21725
1919,PP,Mixed grains,58,1590,50400,31700,2925
1919,PP,Oats,45,950,3634000,3826000,161994
1919,PP,"Peas, dry",113,1090,5350,4900,606
1919,PP,"Rye, all",51,795,185000,232000,9514
1919,PP,Sugar beets,0,0,0,0,0
1919,PP,Tame hay,2.11,2790,1116000,400000,23533
1919,PP,"Wheat, all",86,625,4505000,7184000,387073
1919,PEI,Barley,64,1565,3600,2300,230
1919,PEI,Buckwheat,69,1150,1900,1650,132
1919,PEI,Corn for silage,1,2500,5000,200,50
1919,PEI,Mixed grains,60,2265,17200,7600,1039
1919,PEI,Oats,55,1315,93100,70800,5132
1919,PEI,"Peas, dry",130,1000,200,200,26
1919,PEI,Tame hay,2.21,4040,388000,96000,8564
1919,PEI,"Wheat, all",100,1180,17000,14400,1705
1919,QU,Barley,75,1225,116400,95100,8764
1919,QU,"Beans, all dry (white and coloured)",166,1325,23200,17500,3856
1919,QU,Buckwheat,78,1290,88850,68800,6938
1919,QU,Corn for grain,72,2580,45400,17600,3290
1919,QU,Corn for silage,0.93,18530,554000,29900,5139
1919,QU,Flaxseed,155,610,2800,4600,434
1919,QU,Mixed grains,73,1360,86900,63800,6384
1919,QU,Oats,69,1020,883300,866500,60712
1919,QU,"Peas, dry",133,1010,33350,33000,4435
1919,QU,"Rye, all",79,1080,14700,13600,1156
1919,QU,Tame hay,2.26,3380,5911000,1751000,133415
1919,QU,"Wheat, all",105,1125,114500,101600,12029
1919,SK,Barley,50,980,195000,199000,9689
1919,SK,"Beans, all dry (white and coloured)",146,665,500,750,73
1919,SK,Corn for silage,1.38,2815,76000,2700,1050
1919,SK,Flaxseed,163,305,114100,376000,18589
1919,SK,Mixed grains,69,1765,15700,8900,1079
1919,SK,Oats,45,885,1730000,1958000,78510
1919,SK,"Peas, dry",149,1175,2350,2000,349
1919,SK,"Rye, all",51,660,51000,77000,2620
1919,SK,Tame hay,1.95,2450,269000,110000,5249
1919,SK,"Wheat, all",85,570,2449000,4285000,208787
1920,AB,Barley,29,1420,277000,195000,7898
1920,AB,"Beans, all dry (white and coloured)",149,1105,1050,950,156
1920,AB,Corn for silage,2.02,9350,29000,3100,585
1920,AB,Flaxseed,72,440,18400,42000,1329
1920,AB,Mixed grains,49,1500,5100,3400,252
1920,AB,Oats,23,1420,1775000,1250000,41433
1920,AB,"Peas, dry",73,1125,1350,1200,98
1920,AB,"Rye, all",49,1340,87000,65000,4275
1920,AB,Sugar beets,0,0,0,0,0
1920,AB,Tame hay,2.24,3080,493000,160000,11047
1920,AB,"Wheat, all",56,1375,2271000,1649000,126861
1920,BC,Barley,69,2025,7900,3900,546
1920,BC,"Beans, all dry (white and coloured)",171,1310,850,650,145
1920,BC,Corn for silage,1.96,25790,49000,1900,962
1920,BC,Mixed grains,61,1800,3600,2000,220
1920,BC,Oats,62,1320,25600,19400,1596
1920,BC,"Peas, dry",111,1725,1900,1100,211
1920,BC,"Rye, all",80,1590,3500,2200,279
1920,BC,Tame hay,3.84,4680,267000,57000,10252
1920,BC,"Wheat, all",81,1275,23800,18700,1924
1920,CA,Barley,38,1335,1377900,1033550,52821
1920,CA,"Beans, all dry (white and coloured)",143,1180,34400,29200,4918
1920,CA,Buckwheat,59,1280,195850,153150,11512
1920,CA,Corn for grain,46,3080,364100,118300,16593
1920,CA,Corn for silage,0.85,21450,5118000,238600,43701
1920,CA,Flaxseed,76,350,203050,578000,15502
1920,CA,Mixed grains,44,2015,661750,328500,29236
1920,CA,Oats,34,1275,8184500,6413850,280115
1920,CA,"Peas, dry",89,1270,96050,75500,8534
1920,CA,"Rye, all",53,1090,287102,262921,15086
1920,CA,Sugar beets,1.41,25400,374100,14700,5279
1920,CA,Tame hay,2.87,2940,12630000,4300000,362054
1920,CA,"Wheat, all",60,970,7162350,7379400,427357
1920,MA,Barley,37,1120,381000,340000,13988
1920,MA,Corn for silage,2.11,9710,67000,6900,1412
1920,MA,Flaxseed,88,500,29400,59000,2588
1920,MA,Mixed grains,92,1070,12500,11700,1144
1920,MA,Oats,36,1175,889000,758000,32007
1920,MA,"Peas, dry",40,1000,1700,1700,68
1920,MA,"Rye, all",53,985,59000,60000,3140
1920,MA,Tame hay,1.78,3210,289000,90000,5135
1920,MA,"Wheat, all",67,935,1022000,1095000,68769
1920,MP,Barley,66,1345,13400,9950,882
1920,MP,Mixed grains,49,1655,17550,10600,856
1920,MP,Oats,47,1115,290700,261250,13652
1920,MP,Tame hay,2.97,2970,1927000,649000,57169
1920,MP,"Wheat, all",77,1035,38950,37700,2984
1920,NB,Barley,65,1275,4200,3300,274
1920,NB,"Beans, all dry (white and coloured)",123,1085,1900,1750,234
1920,NB,Buckwheat,67,1225,32900,26850,2189
1920,NB,Corn for silage,1.1,18100,38000,2100,419
1920,NB,Mixed grains,58,1465,2050,1400,118
1920,NB,Oats,39,1125,140600,125100,5471
1920,NB,"Peas, dry",87,1000,1150,1150,100
1920,NB,"Rye, all",59,845,102,121,6
1920,NB,Tame hay,3.07,2690,791000,294000,24294
1920,NB,"Wheat, all",77,1060,12650,11950,980
1920,NS,Barley,70,1400,6500,4650,452
1920,NS,"Beans, all dry (white and coloured)",219,1270,2350,1850,515
1920,NS,Buckwheat,63,1200,6350,5300,397
1920,NS,Corn for silage,1.05,18330,11000,600,116
1920,NS,Mixed grains,65,1640,4100,2500,265
1920,NS,Oats,65,1155,71500,61900,4614
1920,NS,"Peas, dry",142,1375,550,400,78
1920,NS,"Rye, all",55,1000,200,200,11
1920,NS,Tame hay,2.9,3360,860000,256000,24966
1920,NS,"Wheat, all",79,1320,13950,10550,1098
1920,ON,Barley,43,1850,362700,196000,15653
1920,ON,"Beans, all dry (white and coloured)",115,1120,10300,9200,1181
1920,ON,Buckwheat,49,1195,69450,58000,3410
1920,ON,Corn for grain,44,3315,328000,99000,14335
1920,ON,Corn for silage,0.76,23270,4235000,182000,31976
1920,ON,Flaxseed,96,665,5700,8550,546
1920,ON,Mixed grains,39,2230,524800,235400,20709
1920,ON,Oats,37,1710,1992100,1165500,74670
1920,ON,"Peas, dry",73,1360,60150,44200,4419
1920,ON,"Rye, all",53,1110,59700,53900,3176
1920,ON,Sugar beets,1.41,25400,374100,14700,5279
1920,ON,Tame hay,2.67,2950,4408000,1496000,117740
1920,ON,"Wheat, all",69,1500,624900,417200,43003
1920,ON,"Wheat, spring",67,1125,121900,108200,8113
1920,ON,"Wheat, winter remaining",69,1630,503000,NA,34890
1920,PP,Barley,32,1190,887000,745000,28817
1920,PP,Corn for silage,2.04,9110,153000,16800,3124
1920,PP,Flaxseed,74,340,192700,563000,14300
1920,PP,Mixed grains,72,1340,30200,22500,2165
1920,PP,Oats,27,1190,4847000,4075000,131475
1920,PP,"Peas, dry",59,1040,4050,3900,239
1920,PP,"Rye, all",51,1075,210000,195000,10609
1920,PP,Sugar beets,0,0,0,0,0
1920,PP,Tame hay,1.81,3150,1101000,350000,19937
1920,PP,"Wheat, all",58,935,6372000,6816000,370990
1920,PEI,Barley,58,1350,2700,2000,156
1920,PEI,Buckwheat,60,1280,2050,1600,124
1920,PEI,Corn for silage,0.75,2000,2000,100,15
1920,PEI,Mixed grains,41,1700,11400,6700,473
1920,PEI,Oats,45,1060,78600,74250,3567
1920,PEI,"Peas, dry",80,1000,100,100,8
1920,PEI,Tame hay,2.87,2790,276000,99000,7909
1920,PEI,"Wheat, all",73,815,12350,15200,906
1920,QU,Barley,65,1360,106900,78700,6923
1920,QU,"Beans, all dry (white and coloured)",150,1210,17550,14500,2632
1920,QU,Buckwheat,63,1385,85100,61400,5393
1920,QU,Corn for grain,63,1870,36100,19300,2258
1920,QU,Corn for silage,1.13,17950,630000,35100,7089
1920,QU,Flaxseed,141,720,4650,6450,657
1920,QU,Mixed grains,62,1475,85600,58000,5286
1920,QU,Oats,57,1155,1029100,892700,58722
1920,QU,"Peas, dry",124,1140,28150,24650,3478
1920,QU,"Rye, all",74,1185,13600,11500,1004
1920,QU,Tame hay,3.19,2820,4927000,1748000,156955
1920,QU,"Wheat, all",82,1145,102700,89800,8456
1920,SK,Barley,30,1090,229000,210000,6931
1920,SK,"Beans, all dry (white and coloured)",135,1335,400,300,54
1920,SK,Corn for silage,1.98,838,57000,6800,1127
1920,SK,Flaxseed,72,315,144900,462000,10383
1920,SK,Mixed grains,61,1705,12600,7400,769
1920,SK,Oats,27,1055,2183000,2067000,58035
1920,SK,"Peas, dry",73,1000,1000,1000,73
1920,SK,"Rye, all",50,915,64000,70000,3194
1920,SK,Tame hay,1.18,3190,319000,100000,3755
1920,SK,"Wheat, all",57,755,3079000,4072000,175360
1921,AB,Barley,15,1105,254000,230000,3730
1921,AB,"Beans, all dry (white and coloured)",87,1500,150,100,13
1921,AB,Corn for silage,0.44,22860,64000,2800,280
1921,AB,Flaxseed,51,390,4300,11000,219
1921,AB,Mixed grains,13,1150,4600,4000,60
1921,AB,Oats,16,840,990000,1178000,15406
1921,AB,"Peas, dry",73,1550,1550,1000,113
1921,AB,"Rye, all",24,565,51000,90000,1239
1921,AB,Sugar beets,0,0,0,0,0
1921,AB,Tame hay,1.13,2300,460000,200000,5179
1921,AB,"Wheat, all",28,695,1444000,2073000,40756
1921,NA,Barley,34,1860,6700,3600,230
1921,BC,"Beans, all dry (white and coloured)",82,1445,650,450,53
1921,BC,Corn for silage,1.57,22630,43000,1900,677
1921,BC,Mixed grains,37,1715,3950,2300,145
1921,BC,Oats,37,1855,42500,22900,1571
1921,BC,"Peas, dry",81,1590,1750,1100,141
1921,BC,"Rye, all",43,1390,3200,2300,139
1921,BC,Tame hay,2.61,5390,329000,61000,8599
1921,BC,"Wheat, all",45,1705,32100,18800,1435
1921,CA,Barley,22,1150,1301250,1130800,28254
1921,CA,"Beans, all dry (white and coloured)",106,1175,29650,25250,3156
1921,CA,Buckwheat,41,1225,179150,146000,7285
1921,CA,Corn for grain,33,3165,378600,119700,12317
1921,CA,Corn for silage,0.78,24420,5774000,236400,44881
1921,CA,Flaxseed,57,485,104300,215550,5938
1921,CA,Mixed grains,31,1305,454500,348450,13901
1921,CA,Oats,22,960,6574250,6858500,146395
1921,CA,"Peas, dry",72,965,75400,78200,5439
1921,CA,"Rye, all",28,730,545503,745502,15399
1921,CA,Sugar beets,0.72,21100,243100,11500,1742
1921,CA,Tame hay,2.57,2480,10913000,4408000,280975
1921,CA,"Wheat, all",30,870,8189050,9412550,242936
1921,MA,Barley,20,1015,429000,422000,8463
1921,MA,Corn for silage,0.99,16140,113000,7000,1124
1921,MA,Flaxseed,59,550,13800,25000,817
1921,MA,Mixed grains,20,1000,4200,4200,83
1921,MA,Oats,19,845,763000,901000,14833
1921,MA,"Peas, dry",92,910,4100,4500,378
1921,MA,"Rye, all",31,875,91000,104000,2816
1921,MA,Tame hay,1.45,3570,357000,100000,5171
1921,MA,"Wheat, all",33,750,1063000,1417000,35539
1921,MP,Barley,47,1130,10850,9600,510
1921,MP,Mixed grains,41,1435,14850,10350,614
1921,MP,Oats,40,1010,249250,247300,10084
1921,MP,Tame hay,2.72,2380,1462000,615000,39829
1921,MP,"Wheat, all",46,1070,34050,31750,1571
1921,NB,Barley,51,915,3300,3600,168
1921,NB,"Beans, all dry (white and coloured)",145,840,800,950,116
1921,NB,Buckwheat,46,1195,24100,20150,1108
1921,NB,Corn for silage,1.08,16000,24000,1500,260
1921,NB,Mixed grains,43,1180,1950,1650,84
1921,NB,Oats,42,955,109750,115200,4627
1921,NB,"Peas, dry",81,880,750,850,61
1921,NB,"Rye, all",39,1005,203,202,8
1921,NB,Tame hay,2.76,2020,567000,281000,15625
1921,NB,"Wheat, all",55,1020,11600,11350,641
1921,NS,Barley,53,1245,4350,3500,232
1921,NS,"Beans, all dry (white and coloured)",158,1335,1600,1200,252
1921,NS,Buckwheat,49,1105,4200,3800,204
1921,NS,Corn for silage,0.63,15000,9000,600,57
1921,NS,Mixed grains,47,1525,2900,1900,137
1921,NS,Oats,48,1095,60550,55400,2897
1921,NS,"Peas, dry",126,1165,350,300,44
1921,NS,"Rye, all",80,500,100,200,8
1921,NS,Tame hay,2.54,3030,700000,231000,17749
1921,NS,"Wheat, all",52,1040,6850,6600,357
1921,ON,Barley,29,1180,221000,187000,6390
1921,ON,"Beans, all dry (white and coloured)",87,1085,11600,10700,1006
1921,ON,Buckwheat,33,1220,73000,59900,2416
1921,ON,Corn for grain,31,3405,344000,101000,10750
1921,ON,Corn for silage,0.72,25710,4550000,177000,32598
1921,ON,Flaxseed,62,555,1700,3050,105
1921,ON,Mixed grains,28,1320,330400,250200,9373
1921,ON,Oats,30,895,1119300,1252500,33774
1921,ON,"Peas, dry",55,915,39200,42900,2166
1921,ON,"Rye, all",35,905,45100,49700,1571
1921,ON,Sugar beets,0.72,21100,243100,11500,1742
1921,ON,Tame hay,2.33,2650,4002000,1509000,93155
1921,ON,"Wheat, all",39,1355,423900,312900,16376
1921,ON,"Wheat, spring",39,840,51900,61900,2014
1921,ON,"Wheat, winter remaining",39,1480,372000,NA,14362
1921,PP,Barley,18,1140,974000,853000,17051
1921,PP,Corn for silage,0.87,21680,412000,19000,3603
1921,PP,Flaxseed,55,480,100100,209000,5479
1921,PP,Mixed grains,15,1310,22900,17500,337
1921,PP,Oats,16,1000,4383000,4378000,70611
1921,PP,"Peas, dry",88,1075,7000,6500,614
1921,PP,"Rye, all",27,710,486000,683000,13135
1921,PP,Sugar beets,0,0,0,0,0
1921,PP,Tame hay,1.27,2970,1246000,420000,15834
1921,PP,"Wheat, all",29,850,7624000,8976000,219175
1921,PEI,Barley,35,1280,3200,2500,111
1921,PEI,Buckwheat,34,1390,1600,1150,55
1921,PEI,Corn for silage,0.58,2500,5000,200,29
1921,PEI,Mixed grains,39,1470,10000,6800,394
1921,PEI,Oats,32,1030,78950,76700,2560
1921,PEI,"Peas, dry",40,1500,150,100,6
1921,PEI,Tame hay,3.31,1890,195000,103000,6455
1921,PEI,"Wheat, all",37,1130,15600,13800,573
1921,QU,Barley,46,1145,88700,77600,4073
1921,QU,"Beans, all dry (white and coloured)",117,1260,14400,11450,1685
1921,QU,Buckwheat,46,1250,76250,61000,3503
1921,QU,Corn for grain,45,1850,34600,18700,1567
1921,QU,Corn for silage,1.05,20190,731000,36200,7657
1921,QU,Flaxseed,142,715,2500,3500,354
1921,QU,Mixed grains,42,1210,82400,68100,3432
1921,QU,Oats,39,815,780200,957800,30355
1921,QU,"Peas, dry",92,990,26200,26450,2408
1921,QU,"Rye, all",49,1080,10900,10100,538
1921,QU,Tame hay,3.19,2150,3874000,1803000,123558
1921,QU,"Wheat, all",58,1025,75000,73100,4379
1921,SK,Barley,17,1450,291000,201000,4858
1921,SK,"Beans, all dry (white and coloured)",69,1125,450,400,31
1921,SK,Corn for silage,0.94,2554,235000,9200,2199
1921,SK,Flaxseed,54,475,82000,173000,4443
1921,SK,Mixed grains,14,1515,14100,9300,194
1921,SK,Oats,15,1145,2630000,2299000,40372
1921,SK,"Peas, dry",90,1350,1350,1000,122
1921,SK,"Rye, all",26,705,344000,489000,9080
1921,SK,Tame hay,1.28,3580,429000,120000,5484
1921,SK,"Wheat, all",28,935,5117000,5486000,142880
1922,AB,Barley,19,890,136000,153000,2620
1922,AB,"Beans, all dry (white and coloured)",60,1000,50,50,3
1922,AB,Corn for silage,0.56,11750,74000,6300,411
1922,AB,Flaxseed,59,255,2300,9000,135
1922,AB,Mixed grains,19,1310,7600,5800,148
1922,AB,Oats,23,840,548000,653000,12432
1922,AB,"Peas, dry",74,835,500,600,37
1922,AB,"Rye, all",22,645,157000,244000,3403
1922,AB,Sugar beets,0,0,0,0,0
1922,AB,Tame hay,1.74,2050,266000,130000,4626
1922,AB,"Wheat, all",28,760,1768000,2333000,50031
1922,BC,Barley,41,1565,4700,3000,195
1922,BC,"Beans, all dry (white and coloured)",90,1335,600,450,54
1922,BC,Corn for silage,1.66,24740,47000,1900,779
1922,BC,Mixed grains,35,1575,3150,2000,109
1922,BC,Oats,40,1665,38800,23300,1560
1922,BC,"Peas, dry",77,1720,1550,900,119
1922,BC,"Rye, all",37,1285,3600,2800,133
1922,BC,Tame hay,3,3980,255000,64000,7640
1922,BC,"Wheat, all",45,1500,28200,18800,1264
1922,CA,Barley,21,1485,1564500,1052500,33335
1922,CA,"Beans, all dry (white and coloured)",105,1095,35500,32350,3714
1922,CA,Buckwheat,39,1210,211250,174400,8141
1922,CA,Corn for grain,33,2730,350900,128600,11510
1922,CA,Corn for silage,0.55,20100,5333000,265350,29198
1922,CA,Flaxseed,68,555,127200,229250,8639
1922,CA,Mixed grains,29,1795,565650,315450,16501
1922,CA,Oats,24,1290,7575750,5883950,185455
1922,CA,"Peas, dry",66,1215,93300,76800,6141
1922,CA,"Rye, all",23,965,822779,852543,18703
1922,CA,Sugar beets,0.87,20600,172700,8400,1500
1922,CA,Tame hay,1.48,3320,13874000,4176000,205245
1922,CA,"Wheat, all",31,1200,10879150,9073950,339419
1922,MA,Barley,19,1600,628000,392000,11834
1922,MA,Corn for silage,0.66,16750,196000,11700,1296
1922,MA,Flaxseed,71,690,18600,27000,1321
1922,MA,Mixed grains,19,1510,8300,5500,154
1922,MA,Oats,20,1535,1148000,749000,23074
1922,MA,"Peas, dry",46,1555,7000,4500,323
1922,MA,"Rye, all",24,1055,180000,171000,4318
1922,MA,Tame hay,1.12,4090,368000,90000,4111
1922,MA,"Wheat, all",31,1290,1634000,1265000,49842
1922,MP,Barley,45,1430,11300,7900,506
1922,MP,Mixed grains,34,1795,18400,10250,620
1922,MP,Oats,35,1250,319950,256350,11256
1922,MP,Tame hay,1.6,3390,2087000,615000,33421
1922,MP,"Wheat, all",54,1335,37550,28150,2018
1922,NB,Barley,43,1325,4100,3100,177
1922,NB,"Beans, all dry (white and coloured)",122,1205,1750,1450,214
1922,NB,Buckwheat,45,1375,30350,22100,1351
1922,NB,Corn for silage,1.11,16440,37000,2250,410
1922,NB,Mixed grains,41,1585,2300,1450,95
1922,NB,Oats,38,1175,149050,127050,5606
1922,NB,"Peas, dry",106,945,850,900,90
1922,NB,"Rye, all",39,1150,279,243,11
1922,NB,Tame hay,1.54,3360,953000,284000,14714
1922,NB,"Wheat, all",63,1180,10800,9150,685
1922,NS,Barley,45,1450,4200,2900,191
1922,NS,"Beans, all dry (white and coloured)",148,1280,1600,1250,236
1922,NS,Buckwheat,42,1300,4550,3500,189
1922,NS,Corn for silage,1.06,16000,8000,500,85
1922,NS,Mixed grains,42,1555,2800,1800,117
1922,NS,Oats,43,1265,70150,55400,2988
1922,NS,"Peas, dry",105,1600,400,250,42
1922,NS,"Rye, all",70,1000,100,100,7
1922,NS,Tame hay,1.79,3500,790000,226000,14154
1922,NS,"Wheat, all",59,1370,8000,5850,470
1922,ON,Barley,26,1730,304200,175600,7932
1922,ON,"Beans, all dry (white and coloured)",91,1050,17000,16200,1545
1922,ON,Buckwheat,32,1160,92900,80000,2993
1922,ON,Corn for grain,31,2925,313000,107000,9599
1922,ON,Corn for silage,0.48,22490,4003000,178000,19197
1922,ON,Flaxseed,38,675,1250,1850,48
1922,ON,Mixed grains,28,1945,434200,223500,12255
1922,ON,Oats,26,1455,1789500,1227900,46404
1922,ON,"Peas, dry",51,1325,56550,42700,2907
1922,ON,"Rye, all",30,1030,63500,61800,1900
1922,ON,Sugar beets,0.87,20600,172700,8400,1500
1922,ON,Tame hay,1.36,3660,5622000,1537000,76315
1922,ON,"Wheat, all",37,1425,541200,379300,20131
1922,ON,"Wheat, spring",37,1135,57200,50300,2100
1922,ON,"Wheat, winter remaining",37,1470,484000,NA,18031
1922,PP,Barley,18,1455,1167000,803000,21426
1922,PP,Corn for silage,0.69,13100,440000,33600,3016
1922,PP,Flaxseed,68,555,124500,225000,8431
1922,PP,Mixed grains,17,1445,33500,23200,560
1922,PP,Oats,20,1290,4467000,3465000,87621
1922,PP,"Peas, dry",52,1485,8900,6000,464
1922,PP,"Rye, all",22,960,748000,780000,16288
1922,PP,Sugar beets,0,0,0,0,0
1922,PP,Tame hay,1.21,2950,973000,330000,11790
1922,PP,"Wheat, all",31,1190,10210000,8589000,312515
1922,PEI,Barley,46,1580,3000,1900,138
1922,PEI,Buckwheat,38,1455,1600,1100,61
1922,PEI,Corn for silage,0.6,1667,5000,300,30
1922,PEI,Mixed grains,31,1900,13300,7000,408
1922,PEI,Oats,26,1365,100750,73900,2662
1922,PEI,"Peas, dry",93,1500,150,100,14
1922,PEI,Tame hay,1.32,3280,344000,105000,4553
1922,PEI,"Wheat, all",46,1425,18750,13150,863
1922,QU,Barley,42,1225,77300,63000,3277
1922,QU,"Beans, all dry (white and coloured)",116,1140,13750,12050,1592
1922,QU,Buckwheat,43,1210,81850,67700,3547
1922,QU,Corn for grain,50,1755,37900,21600,1911
1922,QU,Corn for silage,0.72,16250,793000,48800,5681
1922,QU,Flaxseed,110,605,1450,2400,160
1922,QU,Mixed grains,39,1350,76400,56500,2957
1922,QU,Oats,40,1055,960500,911400,38614
1922,QU,"Peas, dry",101,960,24900,25950,2506
1922,QU,"Rye, all",50,960,7300,7600,364
1922,QU,Tame hay,1.54,3030,4937000,1630000,76079
1922,QU,"Wheat, all",56,1060,62200,58700,3491
1922,SK,Barley,17,1560,403000,258000,6972
1922,SK,"Beans, all dry (white and coloured)",93,835,750,900,70
1922,SK,Corn for silage,0.77,1090,170000,15600,1309
1922,SK,Flaxseed,67,550,103600,189000,6975
1922,SK,Mixed grains,15,1480,17600,11900,258
1922,SK,Oats,19,1345,2771000,2063000,52115
1922,SK,"Peas, dry",74,1555,1400,900,104
1922,SK,"Rye, all",21,1125,411000,365000,8567
1922,SK,Tame hay,0.9,3080,339000,110000,3053
1922,SK,"Wheat, all",31,1365,6808000,4991000,212642
1923,AB,Barley,15,2075,322000,155000,4889
1923,AB,"Beans, all dry (white and coloured)",80,600,150,250,12
1923,AB,Corn for silage,0.33,10410,228000,21900,753
1923,AB,Flaxseed,64,665,4000,6000,254
1923,AB,Mixed grains,12,2135,9600,4500,113
1923,AB,Oats,16,1905,1773000,931000,27595
1923,AB,"Peas, dry",52,1540,2000,1300,103
1923,AB,"Rye, all",16,1205,194400,161000,3056
1923,AB,"Rye, fall remaining",16,1275,157000,NA,2467
1923,AB,"Rye, spring",16,985,37400,38000,589
1923,AB,Sugar beets,0,0,0,0,0
1923,AB,Tame hay,0.8,4170,459000,110000,3659
1923,AB,"Wheat, all",24,1885,3942000,2093000,94143
1923,BC,Barley,37,1815,4900,2700,183
1923,BC,"Beans, all dry (white and coloured)",89,1445,650,450,58
1923,BC,Corn for silage,1.95,25260,48000,1900,935
1923,BC,Mixed grains,34,1815,2900,1600,99
1923,BC,Oats,40,1965,48500,24700,1949
1923,BC,"Peas, dry",69,1600,1600,1000,110
1923,BC,"Rye, all",39,1375,4400,3200,172
1923,BC,Tame hay,2.21,5380,355000,66000,7844
1923,BC,"Wheat, all",44,1665,30500,18300,1328
1923,CA,Barley,19,1490,1676900,1126400,32571
1923,CA,"Beans, all dry (white and coloured)",98,1110,28400,25550,2773
1923,CA,Buckwheat,39,1190,212150,178100,8192
1923,CA,Corn for grain,36,2700,346000,128100,12466
1923,CA,Corn for silage,0.51,18080,4827000,267050,24605
1923,CA,Flaxseed,70,715,181400,253950,12644
1923,CA,Mixed grains,29,1780,607500,341250,17655
1923,CA,Oats,21,1495,8697350,5822150,184857
1923,CA,"Peas, dry",63,1155,78900,68450,4987
1923,CA,"Rye, all",19,1005,589900,585900,11340
1923,CA,"Rye, fall remaining",20,1020,460800,NA,9082
1923,CA,"Rye, spring",17,970,129100,133200,2258
1923,CA,Sugar beets,0.71,21500,196100,9100,1401
1923,CA,Tame hay,1.21,3530,14400000,4083000,174796
1923,CA,"Wheat, all",25,1455,12905350,8856050,316995
1923,MA,Barley,17,1195,560000,468000,9519
1923,MA,Corn for silage,0.52,15650,205000,13100,1062
1923,MA,Flaxseed,74,630,35400,56000,2637
1923,MA,Mixed grains,18,1140,6500,5700,120
1923,MA,Oats,19,1220,905000,742000,17611
1923,MA,"Peas, dry",56,1250,500,400,28
1923,MA,"Rye, all",21,860,117000,136200,2403
1923,MA,"Rye, fall remaining",21,880,101000,NA,2075
1923,MA,"Rye, spring",21,755,16000,21200,328
1923,MA,Tame hay,0.89,3480,348000,100000,3110
1923,MA,"Wheat, all",25,825,974000,1180000,23989
1923,MP,Barley,43,1555,12600,8100,541
1923,MP,Mixed grains,31,1990,19000,9550,583
1923,MP,Oats,36,1260,258550,205050,9307
1923,MP,Tame hay,1.33,3210,1678000,522000,22330
1923,MP,"Wheat, all",48,1265,29650,23450,1434
1923,NB,Barley,45,1600,3600,2250,163
1923,NB,"Beans, all dry (white and coloured)",159,1000,750,750,119
1923,NB,Buckwheat,39,1350,23450,17400,910
1923,NB,Corn for silage,0.55,21880,35000,1600,194
1923,NB,Mixed grains,39,1525,1450,950,56
1923,NB,Oats,36,1185,108050,91350,3939
1923,NB,"Peas, dry",94,1085,650,600,61
1923,NB,"Rye, all",30,2000,100,50,3
1923,NB,Tame hay,1.27,2580,580000,225000,7346
1923,NB,"Wheat, all",61,1280,7500,5850,459
1923,NS,Barley,50,1580,4500,2850,225
1923,NS,"Beans, all dry (white and coloured)",108,1190,950,800,103
1923,NS,Buckwheat,53,1260,4100,3250,216
1923,NS,Corn for silage,0.53,22220,10000,450,53
1923,NS,Mixed grains,44,1750,2450,1400,107
1923,NS,Oats,47,1305,59800,45750,2804
1923,NS,"Peas, dry",96,1250,250,200,24
1923,NS,"Rye, all",30,2000,100,50,3
1923,NS,Tame hay,1.38,4040,807000,200000,11128
1923,NS,"Wheat, all",49,1260,6500,5150,320
1923,ON,Barley,27,1610,294400,183100,8063
1923,ON,"Beans, all dry (white and coloured)",87,1040,17300,16600,1508
1923,ON,Buckwheat,34,1170,109100,93200,3727
1923,ON,Corn for grain,35,2845,327000,115000,11318
1923,ON,Corn for silage,0.49,19950,3312000,166000,16284
1923,ON,Flaxseed,43,635,1750,2750,76
1923,ON,Mixed grains,29,1855,487500,262600,13970
1923,ON,Oats,29,1330,1596000,1200900,45850
1923,ON,"Peas, dry",53,1165,55250,47500,2912
1923,ON,"Rye, all",31,1025,51100,49900,1592
1923,ON,Sugar beets,0.71,21600,196100,9100,1401
1923,ON,Tame hay,1.2,3790,5977000,1577000,71651
1923,ON,"Wheat, all",35,1505,504700,335200,17789
1923,ON,"Wheat, spring",36,1165,52700,45200,1886
1923,ON,"Wheat, winter remaining",35,1560,452000,NA,15903
1923,PP,Barley,16,1475,1302000,882000,21155
1923,PP,Corn for silage,0.48,11830,710000,60000,3415
1923,PP,Flaxseed,70,715,179000,250000,12505
1923,PP,Mixed grains,15,1600,35400,22100,516
